iter	RMSE
353	271.9088233
354	271.721117
355	271.6099988
356	271.4399331
357	271.194605
358	271.0633568
359	270.971318
360	270.8423612
361	270.7326011
362	270.515583
363	270.4085421
364	270.197175
365	270.0185615
366	269.9091495
367	269.7247091
368	269.442113
369	269.2524986
370	269.1635615
371	269.0907662
372	268.9638269
373	268.893655
374	268.8100752
375	268.656371
376	268.5894327
377	268.3852233
378	268.2867842
379	268.0540489
380	267.863649
381	267.6907514
382	267.5726006
383	267.404246
384	267.2959688
385	267.0845562
386	266.9728943
387	266.847451
388	266.7091624
389	266.5304244
390	266.4394799
391	266.2849928
392	266.1072341
393	265.9870862
394	265.8902496
395	265.819172
396	265.6820573
397	265.5222115
398	265.4131439
399	265.226926
400	265.067771
401	264.9513803
402	264.7779239
403	264.6731472
404	264.5158728
405	264.4402929
406	264.3150577
407	264.2469334
408	264.0276073
409	263.9751197
410	263.8189189
411	263.7414893
412	263.6697944
413	263.5618866
414	263.463764
415	263.3115068
416	263.1392919
417	262.9654267
418	262.8168033
419	262.7695237
420	262.6535831
421	262.59814
422	262.4701891
423	262.3265919
424	262.1628517
425	262.0617199
426	262.0022017
427	261.9271684
428	261.7695189
429	261.6310155
430	261.5196521
431	261.4527857
432	261.4034347
433	261.2395124
434	261.1149192
435	261.0552986
436	261.0008321
437	260.9364536
438	260.8360955
439	260.7480315
440	260.6961784
441	260.5956524
442	260.4056503
443	260.2588348
444	260.093658
445	259.8909823
446	259.802161
447	259.6428938
448	259.479007
449	259.3631718
450	259.2952149
451	259.2055705
452	259.089003
453	259.0117159
454	258.9432259
455	258.8032911
456	258.7060229
457	258.552411
458	258.4340798
459	258.3468753
460	258.24597
461	258.1220786
462	258.0033504
463	257.8387312
464	257.794513
465	257.7333911
466	257.6511284
467	257.5242744
468	257.4483529
469	257.3840468
470	257.2995311
471	257.2094751
472	257.0953971
473	256.9612884
474	256.9029979
475	256.7552951
476	256.6029076
477	256.4953572
478	256.3363888
479	256.2641949
480	256.132922
481	256.0523544
482	255.9640279
483	255.9051457
484	255.803015
485	255.7234209
486	255.6243413
487	255.5821946
488	255.5066772
489	255.4126685
490	255.3491093
491	255.2298141
492	255.1940853
493	255.0370727
494	254.9169226
495	254.866944
496	254.7815346
497	254.6994657
498	254.5906492
499	254.4868026
